,Diagnose,Word,Occurrences
207,1,extrahepatic,1
208,1,treated,2
209,1,aggressive,1
210,1,combined,1
211,1,systemic,1
212,1,significant,1
213,1,survival,3
214,1,intraves,3
215,1,condyloma,4
216,1,acuminatum,4
217,1,progress,1
218,1,verruc,1
219,1,common,2
220,1,form,2
221,1,vener,1
222,1,condylomata,4
223,1,acuminata,4
224,1,suffer,1
225,1,local,2
226,1,cosmet,1
227,1,irrit,1
228,1,effect,1
229,1,lesion,2
230,1,region,1
231,1,distribut,1
232,1,lifethreaten,1
233,1,describ,1
234,1,fortythreeyearold,2
235,1,white,10
236,1,seventeenyear,2
237,1,histori,1
238,1,scleroderma,2
239,1,extraves,1
240,1,year,2
241,1,conserv,1
242,1,manag,1
243,1,transurethr,1
244,1,excis,1
245,1,electrocoagul,1
246,1,chemotherapi,1
247,1,entir,1
248,1,bladder,8
249,1,result,4
250,1,renal,6
251,1,insuffici,1
252,1,requir,1
253,1,anterior,2
254,1,exenter,1
255,1,urinari,1
256,1,divers,1
257,1,natur,1
258,1,relev,1
259,1,intravesical,3
260,1,progression,1
261,1,verrucous,1
262,1,venereal,1
263,1,cosmetic,1
264,1,irritative,1
265,1,regionally,1
266,1,distributed,1
267,1,lifethreatening,1
268,1,describe,1
269,1,history,1
270,1,extravesical,1
271,1,conservative,1
272,1,management,1
273,1,transurethral,1
274,1,excision,1
275,1,electrocoagulation,1
276,1,chemotherapy,1
277,1,progressed,2
278,1,involve,1
279,1,entire,1
280,1,resulted,1
281,1,insufficiency,1
282,1,required,1
283,1,exenteration,1
284,1,urinary,1
285,1,diversion,1
286,1,natural,1
287,1,described,1
288,1,relevant,1
289,1,reviewed,1
290,1,transsphenoid,3
291,1,extirp,1
292,1,craniopharyngioma,4
293,1,rathk,2
294,1,cyst,4
295,1,fourteen,2
296,1,undergo,2
297,1,endocrinolog,1
298,1,evalu,1
299,1,surgeri,2
300,1,die,1
301,1,procedur,1
302,1,uncontrol,1
303,1,arteri,1
304,1,bleed,1
305,1,follow,1
306,1,averag,1
307,1,85,2
308,1,recurr,1
309,1,anoth,1
310,1,previou,1
311,1,radiat,1
312,1,recov,1
313,1,pituitari,4
314,1,function,4
315,1,lost,2
316,1,isol,1
317,1,growth,2
318,1,defici,2
319,1,panhypopituitar,1
320,1,sustain,2
321,1,antidiuret,2
322,1,secret,1
323,1,chang,1
324,1,postop,1
325,1,preoper,2
326,1,endocrin,4
327,1,statu,1
328,1,eleven,2
329,1,pharmacolog,2
330,1,replac,1
331,1,four,2
332,1,transsphenoidal,3
333,1,extirpation,1
334,1,craniopharyngiomas,2
335,1,rathke,2
336,1,undergoing,1
337,1,endocrinological,1
338,1,evaluation,1
339,1,surgery,2
340,1,died,1
341,1,procedure,1
342,1,uncontrollable,1
343,1,arterial,4
344,1,bleeding,1
345,1,followed,1
346,1,average,1
347,1,recurrence,1
348,1,another,1
349,1,operated,1
350,1,recurrent,1
351,1,previous,1
352,1,radiation,1
353,1,recovered,1
354,1,pituitary,4
355,1,isolated,1
356,1,hormone,2
357,1,deficiency,2
358,1,panhypopituitarism,1
359,1,sustained,1
360,1,antidiuretic,2
361,1,secretion,1
362,1,change,1
363,1,postoperatively,1
364,1,preoperative,2
365,1,endocrine,4
366,1,status,1
367,1,pharmacological,1
368,1,replacement,1
369,1,concept,4
370,1,advanc,1
371,1,gastric,2
372,1,outcom,2
373,1,gastrointestin,1
374,1,gitsg,2
375,1,report,6
376,1,unresect,4
377,1,shorter,2
378,1,median,6
379,1,forti,1
380,1,week,2
381,1,remain,1
382,1,eighteen,2
383,1,compar,1
384,1,random,1
385,1,receiv,1
386,1,alon,1
387,1,seventysix,2
388,1,six,4
389,1,respect,1
390,1,test,5
391,1,modal,1
392,1,might,2
393,1,increas,1
394,1,number,2
395,1,longterm,2
396,1,survivor,2
397,1,second,6
398,1,protocol,2
399,1,design,1
400,1,major,1
401,1,modif,1
402,1,cours,5
403,1,would,2
404,1,preced,1
405,1,5fluorouracilpotenti,1
406,1,doxorubicin,2
407,1,ad,2
408,1,5fluorouracil,4
409,1,plu,1
410,1,methylccnu,2
411,1,singl,2
412,1,thousand,2
413,1,and,4
414,1,twenti,1
415,1,cgi,1
416,1,daili,1
417,1,day,6
418,1,begin,1
419,1,end,2
420,1,fortysix,2
421,1,fiftynin,1
422,1,sixtytwo,2
423,1,seven,2
424,1,live,1
425,1,although,2
426,1,problem,4
427,1,earli,1
428,1,death,2
429,1,resolv,1
430,1,locally,1
431,1,advanced,1
432,1,outcome,2
433,1,gastrointestinal,1
434,1,study,2
435,1,unresectable,4
436,1,forty,1
437,1,remained,1
438,1,compared,1
439,1,randomized,1
440,1,receive,2
441,1,alone,1
442,1,respectively,1
443,1,modality,1
444,1,increase,1
445,1,designed,1
446,1,modification,1
447,1,course,5
448,1,precede,1
449,1,5fluorouracilpotentiated,1
450,1,added,2
451,1,plus,1
452,1,combination,2
453,1,single,2
454,1,twenty,1
455,1,cgy,1
456,1,daily,1
457,1,beginning,1
458,1,fiftynine,1
459,1,following,1
460,1,lived,1
461,1,early,1
462,1,resolved,1
463,1,partial,2
464,1,nephrectomi,1
465,1,implic,1
466,1,fiftytwo,2
467,1,fortyfour,2
468,1,found,2
469,1,parenchymaspar,1
470,1,categor,1
471,1,accord,1
472,1,initi,1
473,1,contralater,1
474,1,kidney,4
475,1,includ,2
476,1,bilater,1
477,1,solitari,2
478,1,mandatori,2
479,1,unilater,1
480,1,compromis,1
481,1,benign,2
482,1,process,4
483,1,nine,2
484,1,rel,1
485,1,small,2
486,1,peripher,1
487,1,normal,2
488,1,nineteen,2
489,1,elect,2
490,1,account,1
491,1,without,2
492,1,definit,1
493,1,evid,1
494,1,last,2
495,1,followup,6
496,1,overal,1
497,1,mean,1
498,1,thirtysix,2
499,1,often,2
500,1,provid,1
501,1,advantag,1
502,1,encourag,1
503,1,consider,1
504,1,role,2
505,1,altern,1
506,1,radic,2
507,1,select,1
508,1,nephrectomy,1
509,1,indication,1
510,1,implication,1
511,1,parenchymasparing,1
512,1,categorized,1
513,1,according,1
514,1,initial,1
515,1,contralateral,1
516,1,included,1
517,1,bilateral,1
518,1,solitary,2
519,1,mandatory,2
520,1,unilateral,1
521,1,compromise,1
522,1,relative,1
523,1,peripheral,1
524,1,elective,2
525,1,accounted,1
526,1,definite,1
527,1,evidence,1
528,1,overall,1
529,1,provide,1
530,1,effective,1
531,1,advantageous,1
532,1,encourage,1
533,1,consideration,1
534,1,alternative,1
535,1,radical,2
536,1,selected,1
537,1,relaps,1
538,1,nonhodgkin,12
539,1,lymphoma,2
540,1,dexamethason,2
541,1,highdos,1
542,1,cytarabin,2
543,1,cisplatin,4
544,1,marrow,8
545,1,transplant,5
546,1,capabl,1
547,1,cure,2
548,1,mani,1
549,1,newli,1
550,1,diagnos,1
551,1,intermedi,1
552,1,highgrad,1
553,1,nhl,6
554,1,problemat,1
555,1,bone,2
556,1,bmt,8
557,1,best,2
558,1,chanc,1
559,1,diseasefre,1
560,1,interim,2
561,1,necessari,1
562,1,await,1
563,1,especi,1
564,1,bulki,1
565,1,thirtynin,1
566,1,age,2
567,1,fail,3
568,1,primari,2
569,1,doxorubicinbas,1
570,1,regimen,6
571,1,subsequ,2
572,1,cycl,1
573,1,mg,6
574,1,intraven,1
575,1,iv,2
576,1,mgm2,2
577,1,continu,1
578,1,infus,1
579,1,gm2,2
580,1,hour,2
581,1,x,4
582,1,dose,2
583,1,dhap,6
584,1,plan,1
585,1,histolog,1
586,1,largecel,1
587,1,mix,1
588,1,smallcleav,1
589,1,lymphoblast,1
590,1,eight,2
591,1,twentyeight,2
592,1,stage,6
593,1,thirteen,2
594,1,b,2
595,1,symptom,2
596,1,elev,1
597,1,lactat,1
598,1,dehydrogenas,1
599,1,ldh,2
600,1,sixtyon,1
601,1,percent,2
602,1,high,4
603,1,burden,2
604,1,md,4
605,1,anderson,2
606,1,criteria,1
607,1,object,1
608,1,respons,5
609,1,twentysix,2
610,1,sixtyseven,2
611,1,complet,1
612,1,cr,8
613,1,twentythre,1
614,1,seventeen,4
615,1,pr,2
616,1,75,2
617,1,myelosuppress,1
618,1,toxic,2
619,1,treatmentrel,1
620,1,date,2
621,1,project,1
622,1,3year,2
623,1,fifteen,2
624,1,conclud,1
625,1,shortterm,2
626,1,salvag,7
627,1,prognosi,1
628,1,multipli,1
629,1,poor,4
630,1,relapsed,2
631,1,dexamethasone,2
632,1,highdose,1
633,1,cytarabine,2
634,1,transplantation,1
635,1,capable,1
636,1,curing,1
637,1,many,1
638,1,newly,1
639,1,diagnosed,1
640,1,intermediate,1
641,1,highgrade,1
642,1,remains,1
643,1,problematic,1
644,1,chance,1
645,1,diseasefree,1
646,1,necessary,1
647,1,awaiting,1
648,1,especially,1
649,1,bulky,1
650,1,thirtynine,1
651,1,failed,1
652,1,primary,2
653,1,doxorubicinbased,1
654,1,subsequently,1
655,1,cycle,1
656,1,intravenous,1
657,1,continuous,1
658,1,infusion,1
659,1,dos,1
660,1,planned,1
661,1,histology,1
662,1,largecell,1
663,1,mixed,1
664,1,smallcleaved,1
665,1,lymphoblastic,1
666,1,elevated,1
667,1,lactate,1
668,1,dehydrogenase,1
669,1,sixtyone,1
670,1,criterion,1
671,1,objective,1
672,1,response,5
673,1,including,1
674,1,complete,1
675,1,twentythree,1
676,1,lasted,1
677,1,myelosuppression,1
678,1,toxicity,2
679,1,treatmentrelated,1
680,1,subsequent,2
681,1,projected,1
682,1,conclude,1
683,1,salvage,7
684,1,prognosis,1
685,1,multiply,1
686,1,malign,1
687,1,melanoma,2
688,1,pigment,1
689,1,dilemma,2
690,1,document,1
691,1,occur,1
692,1,site,2
693,1,remov,1
694,1,nevi,1
695,1,difficulti,1
696,1,clinic,1
697,1,uncertainti,1
698,1,behavior,2
699,1,propos,1
700,1,recur,1
701,1,melanocyt,1
702,1,nevu,3
703,1,expand,1
704,1,beyond,2
705,1,scar,2
706,1,reexcis,2
707,1,care,8
708,1,analyz,1
709,1,ensur,1
710,1,malignant,1
711,1,pigmented,1
712,1,malignancy,1
713,1,occurring,1
714,1,partially,1
715,1,removed,1
716,1,nevus,3
717,1,difficulty,1
718,1,clinical,1
719,1,uncertainty,1
720,1,propose,1
721,1,recurring,1
722,1,melanocytic,1
723,1,expanding,1
724,1,reexcised,1
725,1,carefully,1
726,1,analyzed,1
727,1,ensure,1
728,1,removal,1
729,1,presenc,1
730,1,ident,1
731,1,mitochondri,5
732,1,protein,2
733,1,unstimul,1
734,1,constitut,1
735,1,steroidproduc,2
736,1,r2c,6
737,1,rat,2
738,1,leydig,10
739,1,stimul,1
740,1,nonconstitut,1
741,1,ma10,6
742,1,mous,1
743,1,acut,1
744,1,regul,1
745,1,steroidogenesi,2
746,1,steroidogen,4
747,1,tissu,1
748,1,de,2
749,1,novo,2
750,1,synthesi,1
751,1,believ,2
752,1,synthes,1
753,1,instrument,2
754,1,deliveri,1
755,1,substrat,1
756,1,cholesterol,10
757,1,inner,2
758,1,membran,1
759,1,sidechain,4
760,1,cleavag,2
761,1,complex,2
762,1,convert,2
763,1,pregnenolon,1
764,1,attempt,2
765,1,character,1
766,1,henc,1
767,1,potenti,1
768,1,candid,1
769,1,unequivoc,1
770,1,other,1
771,1,induc,7
772,1,varieti,1
773,1,mitochondria,2
774,1,determin,1
775,1,whether,2
776,1,may,2
777,1,profil,1
778,1,separ,1
779,1,line,10
780,1,low,2
781,1,basal,2
782,1,steroid,2
783,1,product,2
784,1,larg,1
785,1,amount,2
786,1,progesteron,2
787,1,tropic,2
788,1,camp,2
789,1,analog,2
790,1,produc,1
791,1,twodimension,1
792,1,polyacrylamid,1
793,1,gel,2
794,1,electrophoresi,1
795,1,30kda,4
796,1,shown,4
797,1,sever,1
798,1,presence,1
799,1,identical,1
800,1,mitochondrial,5
801,1,unstimulated,1
802,1,constitutive,1
803,1,steroidproducing,2
804,1,stimulated,2
805,1,nonconstitutive,1
806,1,mouse,1
807,1,acute,1
808,1,regulation,1
809,1,steroidogenesis,2
810,1,steroidogenic,4
811,1,tissue,1
812,1,requires,1
813,1,synthesis,1
814,1,believed,2
815,1,synthesized,3
816,1,instrumental,1
817,1,delivery,1
818,1,substrate,1
819,1,membrane,1
820,1,cleavage,2
821,1,pregnenolone,1
822,1,attempted,1
823,1,characterize,1
824,1,stimulation,1
825,1,hence,1
826,1,potential,1
827,1,candidate,1
828,1,unequivocal,1
829,1,indicates,1
830,1,involved,1
831,1,others,1
832,1,induced,1
833,1,variety,1
834,1,localized,1
835,1,mitochondrion,2
836,1,determine,1
837,1,profile,1
838,1,separate,1
839,1,production,2
840,1,synthesizes,1
841,1,large,1
842,1,progesterone,2
843,1,produce,1
844,1,constitutively,2
845,1,increased,2
846,1,twodimensional,1
847,1,polyacrylamide,1
848,1,electrophoresis,1
849,1,several,1
850,1,leukem,1
851,1,hematopoiet,1
852,1,manifest,2
853,1,differenti,1
854,1,sensit,2
855,1,inhibitori,1
856,1,cmyb,16
857,1,antisens,6
858,1,oligodeoxynucleotid,3
859,1,vitro,6
860,1,purg,2
861,1,protooncogen,2
862,1,preferenti,1
863,1,express,4
864,1,encod,1
865,1,myb,4
866,1,prolifer,1
867,1,depend,2
868,1,human,4
869,1,progenitor,2
870,1,type,10
871,1,blast,8
872,1,11,2
873,1,mixtur,2
874,1,cultur,3
875,1,sens,2
876,1,viabil,1
877,1,clone,1
878,1,effici,1
879,1,assess,1
880,1,oligom,2
881,1,neglig,1
882,1,contrast,2
883,1,inhibit,1
884,1,abolish,1
885,1,clonogen,2
886,1,tcell,6
887,1,leukemia,8
888,1,seventyeight,2
889,1,myelogen,2
890,1,chronic,2
891,1,cml,8
892,1,crisi,2
893,1,latter,2
894,1,polymeras,1
895,1,chain,10
896,1,reaction,2
897,1,analysi,4
898,1,antisensetr,1
899,1,reveal,1
900,1,absenc,1
901,1,bcrabl,2
902,1,unit,2
903,1,elimin,1
904,1,thu,1
905,1,show,1
906,1,dna,2
907,1,perturb,1
908,1,eventu,1
909,1,basi,1
910,1,molecular,2
911,1,perhap,1
912,1,immedi,1
913,1,ex,2
914,1,vivo,2
915,1,agent,6
916,1,leukemic,1
917,1,hematopoietic,1
918,1,differential,1
919,1,sensitivity,1
920,1,inhibitory,1
921,1,antisense,6
922,1,oligodeoxynucleotides,3
923,1,purging,2
924,1,protooncogene,1
925,1,preferentially,1
926,1,expressed,1
927,1,encoded,1
928,1,proliferation,1
929,1,analyze,1
930,1,dependence,1
931,1,mixture,2
932,1,cultured,1
933,1,sense,2
934,1,viability,1
935,1,cloning,1
936,1,efficiency,1
937,1,assessed,1
938,1,oligomers,2
939,1,negligible,1
940,1,inhibited,1
941,1,completely,2
942,1,abolished,1
943,1,clonogenic,2
944,1,myelogenous,2
945,1,examined,1
946,1,crisis,2
947,1,polymerase,1
948,1,analysis,4
949,1,antisensetreated,1
950,1,revealed,1
951,1,absence,1
952,1,expression,4
953,1,suggesting,1
954,1,eliminated,2
955,1,culture,2
956,1,survived,1
957,1,thus,1
958,1,perturbation,1
959,1,eventually,1
960,1,basis,1
961,1,perhaps,1
962,1,immediately,1
963,1,rhabdomyosarcoma,2
964,1,neck,10
965,1,mr,2
966,1,imag,4
967,1,magnet,1
968,1,reson,1
969,1,signal,4
970,1,intens,3
971,1,characterist,1
972,1,short,2
973,1,repetit,1
974,1,time,2
975,1,tr,4
976,1,echo,2
977,1,te,6
978,1,t1weight,1
979,1,long,2
980,1,proton,2
981,1,densiti,7
982,1,t2weight,1
983,1,gadopentet,2
984,1,dimeglumin,2
985,1,inject,1
986,1,appear,3
987,1,homogen,1
988,1,mass,2
989,1,hyperintens,2
990,1,muscl,1
991,1,fat,2
992,1,trlong,2
993,1,isointens,1
994,1,minim,1
995,1,trshort,2
996,1,enhanc,1
997,1,markedli,1
998,1,intratumor,1
999,1,hemorrhag,6
1000,1,heterogen,1
1001,1,similar,2
1002,1,pattern,4
1003,1,nasopharyng,1
1004,1,fort,1
1005,1,lie,2
1006,1,abil,1
1007,1,delin,1
1008,1,precis,1
1009,1,extent,2
1010,1,imaging,2
1011,1,magnetic,1
1012,1,resonance,1
1013,1,intensity,1
1014,1,characteristic,1
1015,1,repetition,1
1016,1,t1weighted,1
1017,1,density,7
1018,1,t2weighted,1
1019,1,image,2
1020,1,received,2
1021,1,gadopentetate,2
1022,1,dimeglumine,2
1023,1,injection,1
1024,1,appearance,1
1025,1,homogeneous,1
1026,1,hyperintense,2
1027,1,muscle,1
1028,1,isointense,1
1029,1,minimally,1
1030,1,enhanced,1
1031,1,markedly,1
1032,1,intratumoral,1
1033,1,hemorrhage,4
1034,1,heterogeneous,1
1035,1,nasopharyngeal,1
1036,1,forte,1
1037,1,ability,1
1038,1,delineate,1
1039,1,precisely,1
1040,1,adjuv,3
1041,1,antiestrogen,3
1042,1,past,2
1043,1,futur,1
1044,1,laboratori,1
1045,1,investig,2
1046,1,anim,1
1047,1,model,4
1048,1,compound,2
1049,1,tamoxifen,8
1050,1,tumoristat,1
1051,1,therefor,1
1052,1,suppress,1
1053,1,rather,2
1054,1,destroy,1
1055,1,success,1
1056,1,proport,1
1057,1,benefit,4
1058,1,recruit,1
1059,1,extend,1
1060,1,aspect,2
1061,1,toxicolog,1
1062,1,consid,1
1063,1,howev,1
1064,1,monitor,1
1065,1,trial,2
1066,1,safeti,1
1067,1,drug,8
1068,1,gener,1
1069,1,popul,1
1070,1,adjuvant,3
1071,1,future,1
1072,1,laboratory,1
1073,1,investigation,1
1074,1,using,1
1075,1,animal,1
1076,1,antiestrogenic,1
1077,1,tumoristatic,1
1078,1,therefore,1
1079,1,suppressing,1
1080,1,destroying,1
1081,1,successful,1
1082,1,proportion,1
1083,1,benefiting,1
1084,1,recruited,1
1085,1,proposed,1
1086,1,extended,1
1087,1,naturally,1
1088,1,toxicology,1
1089,1,however,1
1090,1,careful,1
1091,1,monitoring,1
1092,1,safety,1
1093,1,general,1
1094,1,population,1
1095,1,prevent,1
1096,1,remind,4
1097,1,computerbas,2
1098,1,health,2
1099,1,mainten,2
1100,1,program,4
1101,1,print,5
1102,1,identifi,1
1103,1,overdu,2
1104,1,summari,1
1105,1,percentag,1
1106,1,elig,1
1107,1,mail,1
1108,1,label,2
1109,1,control,2
1110,1,intervent,1
1111,1,resid,2
1112,1,universitybas,1
1113,1,practic,1
1114,1,prevention,2
1115,1,reminder,4
1116,1,computerbased,2
1117,1,periodic,1
1118,1,maintenance,2
1119,1,provides,1
1120,1,printed,1
1121,1,identify,1
1122,1,overdue,2
1123,1,summary,1
1124,1,percentage,1
1125,1,eligible,1
1126,1,mailing,1
1127,1,controlled,1
1128,1,intervention,1
1129,1,resident,2
1130,1,universitybased,1
1131,1,practice,1
1132,1,athym,1
1133,1,nude,2
1134,1,mice,1
1135,1,parathyroid,16
1136,1,heterograft,4
1137,1,hyperparathyroid,7
1138,1,secondari,1
1139,1,heterotransplant,1
1140,1,adenomat,1
1141,1,glandular,2
1142,1,creat,1
1143,1,uniqu,1
1144,1,concentr,2
1145,1,midregionctermin,1
1146,1,biolog,1
1147,1,activ,1
1148,1,intact,2
1149,1,implant,3
1150,1,substanc,1
1151,1,maintain,1
1152,1,least,2
1153,1,experienc,1
1154,1,exhibit,2
1155,1,associ,2
1156,1,hypercalcemia,4
1157,1,25hydroxyvitamin,2
1158,1,d1,2
1159,1,alphahydroxylas,1
1160,1,also,2
1161,1,measur,1
1162,1,paramet,1
1163,1,hyperplast,1
1164,1,obtain,2
1165,1,urem,1
1166,1,hypothes,1
1167,1,level,4
1168,1,fall,2
1169,1,host,2
1170,1,environ,1
1171,1,recipi,1
1172,1,even,2
1173,1,moreov,1
1174,1,excess,2
1175,1,ie,2
1176,1,hyperphosphatasemia,2
1177,1,125dihydroxyvitamin,2
1178,1,biosynthesi,1
1179,1,detect,8
1180,1,prove,2
1181,1,extrem,3
1182,1,supplement,1
1183,1,understand,1
1184,1,disord,1
1185,1,man,2
1186,1,athymic,1
1187,1,hyperparathyroidism,5
1188,1,secondary,1
1189,1,heterotransplantation,1
1190,1,adenomatous,1
1191,1,creates,1
1192,1,unique,1
1193,1,concentration,2
1194,1,midregioncterminal,1
1195,1,biologically,1
1196,1,active,3
1197,1,substance,1
1198,1,maintained,1
1199,1,implantation,1
1200,1,addition,1
1201,1,experienced,1
1202,1,associated,2
1203,1,alphahydroxylase,1
1204,1,activity,1
1205,1,measured,1
1206,1,parameter,1
1207,1,hyperplastic,1
1208,1,obtained,2
1209,1,uremic,1
1210,1,hypothesized,1
1211,1,environment,1
1212,1,recipient,1
1213,1,moreover,1
1214,1,biologic,1
1215,1,biosynthesis,1
1216,1,detected,5
1217,1,extremely,1
1218,1,useful,1
1219,1,supplementing,1
1220,1,understanding,1
1221,1,disorder,1
1222,1,ductal,2
1223,1,situ,4
1224,1,microinvas,2
1225,1,curabl,2
1226,1,entiti,1
1227,1,need,1
1228,1,neg,2
1229,1,axillari,2
1230,1,node,8
1231,1,nan,2
1232,1,roswel,1
1233,1,park,2
1234,1,institut,1
1235,1,buffalo,2
1236,1,ny,2
1237,1,eightyseven,2
1238,1,88,2
1239,1,dcism,6
1240,1,fifti,1
1241,1,2036,2
1242,1,sole,1
1243,1,mammographi,1
1244,1,microcalcif,1
1245,1,andor,2
1246,1,radiolog,1
1247,1,less,1
1248,1,15,4
1249,1,cm,4
1250,1,thirtythre,1
1251,1,modifi,1
1252,1,mastectomi,1
1253,1,wide,2
1254,1,dissect,1
1255,1,residu,2
1256,1,pure,2
1257,1,frankli,1
1258,1,invas,3
1259,1,incid,1
1260,1,multicentr,2
1261,1,third,4
1262,1,impli,1
1263,1,likelihood,2
1264,1,free,4
1265,1,rang,2
1266,1,thirtyseven,2
1267,1,regardless,2
1268,1,prognost,2
1269,1,factor,6
1270,1,size,2
1271,1,receptor,8
1272,1,microinvasion,4
1273,1,curable,2
1274,1,entity,1
1275,1,negative,2
1276,1,axillary,2
1277,1,surgically,1
1278,1,roswell,1
1279,1,institute,1
1280,1,presented,1
1281,1,fifty,1
1282,1,solely,1
1283,1,mammography,1
1284,1,microcalcifications,1
1285,1,radiological,1
1286,1,le,1
1287,1,thirtythree,1
1288,1,modified,1
1289,1,mastectomy,1
1290,1,dissection,1
1291,1,residual,2
1292,1,excisional,2
1293,1,frankly,1
1294,1,invasive,3
1295,1,incident,1
1296,1,multicentric,2
1297,1,imply,1
1298,1,range,2
1299,1,indicate,1
1300,1,entirely,1
1301,1,prognostic,2
1302,1,histologic,1
1303,1,differentiation,9
1304,1,sequela,10
1305,1,brachytherapi,1
1306,1,vulval,2
1307,1,vagin,5
1308,1,children,2
1309,1,seventi,1
1310,1,girl,2
1311,1,rm,4
1312,1,vulva,4
1313,1,vagina,2
1314,1,gustaveroussi,1
1315,1,igr,2
1316,1,pubesc,1
1317,1,postpubesc,1
1318,1,puberti,1
1319,1,total,2
1320,1,healthi,1
1321,1,mens,1
1322,1,menarch,1
1323,1,lowdos,1
1324,1,complic,1
1325,1,sexual,2
1326,1,correct,6
1327,1,permit,2
1328,1,intercours,1
1329,1,seriou,1
1330,1,colorect,2
1331,1,urethr,1
1332,1,ureter,1
1333,1,stenosi,1
1334,1,irradi,1
1335,1,avoid,1
1336,1,current,1
1337,1,improv,1
1338,1,dosimetri,1
1339,1,appropri,1
1340,1,vulvar,2
1341,1,remiss,3
1342,1,colpectomi,1
1343,1,brachytherapy,1
1344,1,vaginal,5
1345,1,child,2
1346,1,seventy,1
1347,1,rms,2
1348,1,gustaveroussy,1
1349,1,pubescent,1
1350,1,postpubescent,1
1351,1,puberty,1
